[2022-07-26 11:23:38:0930] | Info     | Manager.cpp              -L1655: ---------------------Start call Mv3dRgbd.dll start--------------------
[2022-07-26 11:23:38:0931] | Info     | Manager.cpp              -L1659: Build Time[220617_10:07:28], SDK version[0x1000003].
[2022-07-26 11:23:38:0931] | Info     | Manager.cpp              -L1661: Mv3dRgbd.dll path [C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbd.dll]
[2022-07-26 11:23:38:0931] | Info     | Manager.cpp              -L1662: Current ExE path [E:\DevProjects\HIKROBOT_opencv_yolo\HIK_OPENCV_colDet\x64\Debug\HIK_OPENCV_colDet.exe]
[2022-07-26 11:23:38:0931] | Info     | Manager.cpp              -L1667: Config (C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbdCfg.ini) exist .
[2022-07-26 11:23:38:0931] | Info     | Manager.cpp              -L1674: DebugMode[0], nLogSize[100].
[2022-07-26 11:23:38:0931] | Info     | Manager.cpp              -L1082: [Init] Begin.
[2022-07-26 11:23:38:0932] | Info     | Manager.cpp              -L1115: [Init] end success.
[2022-07-26 11:23:38:0932] | Info     | Manager.cpp              -L0465: [BindDevBySomeWay] start. chParm[00K14280163].
[2022-07-26 11:23:38:0932] | Info     | CameraModule.cpp         -L0085: [Enum] begin.
[2022-07-26 11:23:39:0147] | Info     | CameraModule.cpp         -L0102: [Enum] enum by gige sdk, get camera num:[1].
[2022-07-26 11:23:39:0147] | Info     | CameraModule.cpp         -L0105: [Enum] end success.
[2022-07-26 11:23:39:0147] | Info     | Manager.cpp              -L0569: [CompareBindParm] param bFind[1]  nFindNum[0] .
[2022-07-26 11:23:39:0147] | Info     | Manager.cpp              -L1042: [CreateHandle] begin.
[2022-07-26 11:23:39:0147] | Info     | CameraModule.cpp         -L0156: [CreateHandle] Get Gige Sdk version:(0x4000004).
[2022-07-26 11:23:39:0182] | Info     | Manager.cpp              -L1075: [CreateHandle] end success.
[2022-07-26 11:23:39:0182] | Info     | Manager.cpp              -L0494: [BindDevBySomeWay] end. chParm[00K14280163].
[2022-07-26 11:23:39:0182] | Info     | Manager.cpp              -L0382: [BindDevice] bind device SN[00K14280163] Model[MV-EB435i] ip[2bdf00K14280163] SubNetmask[] gateway[].
[2022-07-26 11:23:39:0182] | Info     | Manager.cpp              -L0933: [ConnectDevice] begin.
[2022-07-26 11:23:39:0452] | Info     | Manager.cpp              -L0978: [ConnectDevice] Get BufferNode count from C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbdCfg.ini\BufferNode, value[5].
[2022-07-26 11:23:39:0452] | Info     | Manager.cpp              -L0986: [ConnectDevice] SetImageNodeNum value[5].
[2022-07-26 11:23:39:0454] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(CameraWorkingMode) nValue(4).
[2022-07-26 11:23:39:0456] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(ImageMode) nValue(2).
[2022-07-26 11:23:39:0458] | Info     | CameraModule.cpp         -L0930: camera module MV_CC_SetBoolValue: strKey(ChunkModeActive) bValue(1).
[2022-07-26 11:23:39:0458] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(ChunkSelector) nValue(24).
[2022-07-26 11:23:39:0460] | Info     | CameraModule.cpp         -L0930: camera module MV_CC_SetBoolValue: strKey(ChunkEnable) bValue(1).
[2022-07-26 11:23:39:0460] | Error    | Manager.cpp              -L0898: m_nDeviceType:00000004.
[2022-07-26 11:23:39:0460] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(ChunkSelector) nValue(19).
[2022-07-26 11:23:39:0462] | Info     | CameraModule.cpp         -L0930: camera module MV_CC_SetBoolValue: strKey(ChunkEnable) bValue(1).
[2022-07-26 11:23:39:0462] | Info     | Manager.cpp              -L1035: [ConnectDevice] end success.
[2022-07-26 11:23:39:0462] | Info     | Manager.cpp              -L1482: [Start] begin.
[2022-07-26 11:23:39:0561] | Info     | Manager.cpp              -L1510: [Start] StartGrabbing success.
[2022-07-26 11:23:39:0561] | Info     | Manager.cpp              -L1516: [Start] end success.
[2022-07-26 11:23:39:0669] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [1440] [0x11000b8] [1].
[2022-07-26 11:23:39:0831] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [2].
[2022-07-26 11:25:44:0598] | Info     | Manager.cpp              -L1655: ---------------------Start call Mv3dRgbd.dll start--------------------
[2022-07-26 11:25:44:0598] | Info     | Manager.cpp              -L1659: Build Time[220617_10:07:28], SDK version[0x1000003].
[2022-07-26 11:25:44:0598] | Info     | Manager.cpp              -L1661: Mv3dRgbd.dll path [C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbd.dll]
[2022-07-26 11:25:44:0598] | Info     | Manager.cpp              -L1662: Current ExE path [E:\DevProjects\HIKROBOT_opencv_yolo\HIK_OPENCV_colDet\x64\Debug\HIK_OPENCV_colDet.exe]
[2022-07-26 11:25:44:0598] | Info     | Manager.cpp              -L1667: Config (C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbdCfg.ini) exist .
[2022-07-26 11:25:44:0598] | Info     | Manager.cpp              -L1674: DebugMode[0], nLogSize[100].
[2022-07-26 11:25:44:0598] | Info     | Manager.cpp              -L1082: [Init] Begin.
[2022-07-26 11:25:44:0600] | Info     | Manager.cpp              -L1115: [Init] end success.
[2022-07-26 11:25:44:0600] | Info     | Manager.cpp              -L0465: [BindDevBySomeWay] start. chParm[00K14280163].
[2022-07-26 11:25:44:0600] | Info     | CameraModule.cpp         -L0085: [Enum] begin.
[2022-07-26 11:25:44:0814] | Info     | CameraModule.cpp         -L0102: [Enum] enum by gige sdk, get camera num:[1].
[2022-07-26 11:25:44:0814] | Info     | CameraModule.cpp         -L0105: [Enum] end success.
[2022-07-26 11:25:44:0814] | Info     | Manager.cpp              -L0569: [CompareBindParm] param bFind[1]  nFindNum[0] .
[2022-07-26 11:25:44:0814] | Info     | Manager.cpp              -L1042: [CreateHandle] begin.
[2022-07-26 11:25:44:0814] | Info     | CameraModule.cpp         -L0156: [CreateHandle] Get Gige Sdk version:(0x4000004).
[2022-07-26 11:25:44:0837] | Info     | Manager.cpp              -L1075: [CreateHandle] end success.
[2022-07-26 11:25:44:0837] | Info     | Manager.cpp              -L0494: [BindDevBySomeWay] end. chParm[00K14280163].
[2022-07-26 11:25:44:0837] | Info     | Manager.cpp              -L0382: [BindDevice] bind device SN[00K14280163] Model[MV-EB435i] ip[2bdf00K14280163] SubNetmask[] gateway[].
[2022-07-26 11:25:44:0837] | Info     | Manager.cpp              -L0933: [ConnectDevice] begin.
[2022-07-26 11:25:45:0149] | Info     | Manager.cpp              -L0978: [ConnectDevice] Get BufferNode count from C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbdCfg.ini\BufferNode, value[5].
[2022-07-26 11:25:45:0149] | Info     | Manager.cpp              -L0986: [ConnectDevice] SetImageNodeNum value[5].
[2022-07-26 11:25:45:0150] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(CameraWorkingMode) nValue(4).
[2022-07-26 11:25:45:0151] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(ImageMode) nValue(2).
[2022-07-26 11:25:45:0153] | Info     | CameraModule.cpp         -L0930: camera module MV_CC_SetBoolValue: strKey(ChunkModeActive) bValue(1).
[2022-07-26 11:25:45:0153] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(ChunkSelector) nValue(24).
[2022-07-26 11:25:45:0154] | Info     | CameraModule.cpp         -L0930: camera module MV_CC_SetBoolValue: strKey(ChunkEnable) bValue(1).
[2022-07-26 11:25:45:0154] | Error    | Manager.cpp              -L0898: m_nDeviceType:00000004.
[2022-07-26 11:25:45:0155] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(ChunkSelector) nValue(19).
[2022-07-26 11:25:45:0157] | Info     | CameraModule.cpp         -L0930: camera module MV_CC_SetBoolValue: strKey(ChunkEnable) bValue(1).
[2022-07-26 11:25:45:0157] | Info     | Manager.cpp              -L1035: [ConnectDevice] end success.
[2022-07-26 11:25:45:0158] | Info     | Manager.cpp              -L1482: [Start] begin.
[2022-07-26 11:25:45:0266] | Info     | Manager.cpp              -L1510: [Start] StartGrabbing success.
[2022-07-26 11:25:45:0266] | Info     | Manager.cpp              -L1516: [Start] end success.
[2022-07-26 11:25:45:0340] | Warning  | Manager.cpp              -L1344: [FetchFrame] error lost frameID from[1280] to [720] [0x11000b8] [75].
[2022-07-26 11:25:45:0341] | Warning  | Manager.cpp              -L1352: [FetchFrame] error lost frameID from[0] to [75].
[2022-07-26 11:27:31:0669] | Info     | Manager.cpp              -L1655: ---------------------Start call Mv3dRgbd.dll start--------------------
[2022-07-26 11:27:31:0669] | Info     | Manager.cpp              -L1659: Build Time[220617_10:07:28], SDK version[0x1000003].
[2022-07-26 11:27:31:0669] | Info     | Manager.cpp              -L1661: Mv3dRgbd.dll path [C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbd.dll]
[2022-07-26 11:27:31:0669] | Info     | Manager.cpp              -L1662: Current ExE path [E:\DevProjects\HIKROBOT_opencv_yolo\HIK_OPENCV_colDet\x64\Debug\HIK_OPENCV_colDet.exe]
[2022-07-26 11:27:31:0669] | Info     | Manager.cpp              -L1667: Config (C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbdCfg.ini) exist .
[2022-07-26 11:27:31:0669] | Info     | Manager.cpp              -L1674: DebugMode[0], nLogSize[100].
[2022-07-26 11:27:31:0669] | Info     | Manager.cpp              -L1082: [Init] Begin.
